x_mm,area_mm2,width_mm,height_mm,z_top_mm,z_bot_mm
862.66,175882.1,631.96,355.79,729.50,579.50
871.12,173815.7,630.34,352.96,729.50,579.50
879.57,171761.1,628.71,350.16,729.50,579.50
888.02,169713.6,627.09,347.35,729.50,579.50
896.47,167675.1,625.46,344.55,729.50,579.50
904.93,165650.2,623.84,341.74,729.50,579.50
913.38,163631.6,622.21,338.94,729.50,579.50
921.83,161618.8,620.59,336.13,729.50,579.50
930.29,159617.1,618.96,333.36,729.50,579.50
938.74,157624.9,617.34,330.58,729.50,579.50
947.19,155644.4,615.72,327.81,729.50,579.50
955.65,153678.8,614.09,325.03,729.50,579.50
964.10,151722.5,612.47,322.26,729.50,579.50
972.55,149772.0,610.84,319.48,729.50,579.50
981.01,147828.3,609.22,316.73,729.50,579.50
989.46,145896.0,607.59,313.99,729.50,579.50
997.91,143972.8,605.97,311.24,729.50,579.50
1006.36,142058.5,604.34,308.50,729.50,579.50
1014.82,140159.0,602.72,305.75,729.50,579.50
1023.27,138268.1,601.09,302.99,729.50,579.50
1031.72,136380.2,599.47,300.25,729.50,579.50
1040.18,134501.9,597.84,297.51,729.50,579.50
1048.63,132632.4,596.22,294.77,729.50,579.50
1057.08,130779.2,594.60,292.07,729.50,579.50
1065.54,128887.1,592.97,289.22,729.50,579.50
1073.99,126925.3,591.35,285.98,729.50,579.50
1082.44,124969.1,589.72,282.72,729.50,579.50
1090.90,123018.8,588.10,279.46,729.50,579.50
1099.35,121081.9,586.47,276.21,729.50,579.50
1107.80,119172.5,584.85,273.07,729.50,579.50
1116.25,117271.4,583.22,269.93,729.50,579.50
1124.71,115380.9,581.60,266.77,729.50,579.50
1133.16,113511.9,579.97,263.68,729.50,579.50
1141.61,111654.1,578.35,260.59,729.50,579.50
1150.07,109808.9,576.73,257.51,729.50,579.50
1158.52,107988.8,575.10,254.54,729.50,579.50
1166.97,106182.7,573.48,251.57,729.50,579.50
1175.43,104386.9,571.85,248.58,729.50,579.50
1183.88,102610.6,570.23,245.66,729.50,579.50
1192.33,100838.5,568.60,242.74,729.50,579.50
1200.78,99079.8,566.98,239.83,729.50,579.50
1209.24,97352.0,565.35,237.03,729.50,579.50
1217.69,95628.4,563.73,234.23,729.50,579.50
